Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-03 04:15,12.9,0,100,0,6.8,6,215.4,0.0046,15.5
Pueblo Real (ACAX-TNC),2024-10-03 04:30,13,0,100,0,8.5,6,214.7,0.0045,15.37
Pueblo Real (ACAX-TNC),2024-10-03 04:45,13,0,100,0,7.9,7,219.4,0.0045,15.37
Pueblo Real (ACAX-TNC),2024-10-03 05:00,13,0,100,0,7.1,7,247.2,0.0046,15.37
Pueblo Real (ACAX-TNC),2024-10-03 05:15,13.1,0,100,0,7.7,7,230.1,0.0046,15.25
Pueblo Real (ACAX-TNC),2024-10-03 05:30,13.1,0,100,0,8.2,7,229.9,0.0045,15.25
Pueblo Real (ACAX-TNC),2024-10-03 05:45,13,0,100,0,10.6,6,219.5,0.0043,15.37
Pueblo Real (ACAX-TNC),2024-10-03 06:00,13,2.2,100,0,11.7,6,241.4,0.0044,15.37
Pueblo Real (ACAX-TNC),2024-10-03 06:15,13.1,7.8,100,0,8.8,7,264.4,0.0052,15.25
Pueblo Real (ACAX-TNC),2024-10-03 06:30,13.1,15.9,100,0,11.9,8,247.4,0.0057,15.25
Pueblo Real (ACAX-TNC),2024-10-03 06:45,13.2,32.2,100,0.2,9.9,7,226.5,0.0075,15.13
Pueblo Real (ACAX-TNC),2024-10-03 07:00,13.3,47.8,100,0,10.9,7,246,0.0089,15.02
Pueblo Real (ACAX-TNC),2024-10-03 07:15,13.3,76.7,100,0,10.6,8,260.3,0.0118,15.02
Pueblo Real (ACAX-TNC),2024-10-03 07:30,13.5,78.3,100,0,9.9,7,273.6,0.0121,14.79
Pueblo Real (ACAX-TNC),2024-10-03 07:45,13.6,82.6,100,0,11.5,8,275.1,0.0122,14.69
Pueblo Real (ACAX-TNC),2024-10-03 08:00,13.7,134.7,100,0,12.2,7,249.2,0.0171,14.59
Pueblo Real (ACAX-TNC),2024-10-03 08:15,13.8,151.5,100,0,9.4,7,240.7,0.0197,14.49
Pueblo Real (ACAX-TNC),2024-10-03 08:30,13.9,159.7,100,0,13.5,6,238,0.0191,14.39
Pueblo Real (ACAX-TNC),2024-10-03 08:45,14,196.2,100,0,11.4,9,264.3,0.0235,14.3
Pueblo Real (ACAX-TNC),2024-10-03 09:00,14.4,298.3,100,0,9.4,7,257,0.0353,13.97
Pueblo Real (ACAX-TNC),2024-10-03 09:15,14.5,300.5,100,0,11.4,8,254.4,0.0343,13.89
Pueblo Real (ACAX-TNC),2024-10-03 09:30,14.7,271.8,100,0.2,8.4,7,278.7,0.0335,13.75
Pueblo Real (ACAX-TNC),2024-10-03 09:45,15.3,596.5,100,0,13.2,1,225.7,0.0637,13.42
Pueblo Real (ACAX-TNC),2024-10-03 10:00,15.6,528.5,100,0,15.1,0,221.6,0.0557,13.3
Pueblo Real (ACAX-TNC),2024-10-03 10:15,15.3,382,100,0,15.2,0,256.5,0.0409,13.42
Pueblo Real (ACAX-TNC),2024-10-03 10:30,15.8,611.4,99,0,13,0,236.6,0.0668,13.82
Pueblo Real (ACAX-TNC),2024-10-03 10:45,16.9,518.4,93,0,14,0,257.3,0.0603,16.65
Pueblo Real (ACAX-TNC),2024-10-03 11:00,15.8,210.6,94,0,12.6,2,232.5,0.0278,16.57
Pueblo Real (ACAX-TNC),2024-10-03 11:15,15.4,254.1,96,0,9.8,10,244.1,0.0324,15.71
Pueblo Real (ACAX-TNC),2024-10-03 11:30,15.7,285,95,0,12.2,1,215.3,0.0351,16.09
Pueblo Real (ACAX-TNC),2024-10-03 11:45,16.5,598.6,95,0,10.4,0,234,0.0707,15.78
Pueblo Real (ACAX-TNC),2024-10-03 12:00,16.8,320.9,91,0,12.2,3,230.7,0.0413,17.59
Pueblo Real (ACAX-TNC),2024-10-03 12:15,16,297.8,95,0,13.5,9,227.7,0.0362,15.95
Pueblo Real (ACAX-TNC),2024-10-03 12:30,15.9,267.4,95,0,12.9,1,207.1,0.0332,15.99
Pueblo Real (ACAX-TNC),2024-10-03 12:45,15.9,214.3,94,0,10.6,1,224.7,0.0289,16.51
Pueblo Real (ACAX-TNC),2024-10-03 13:00,15.6,252.9,95,0,16.4,1,238.9,0.0302,16.15
Pueblo Real (ACAX-TNC),2024-10-03 13:15,15.6,337.3,94,0,14.2,0,221.1,0.0395,16.68
Pueblo Real (ACAX-TNC),2024-10-03 13:30,15.7,312.2,91,0,14.8,0,221.3,0.038,18.14
Pueblo Real (ACAX-TNC),2024-10-03 13:45,15.6,284.2,92,0,13.6,0,206.5,0.0353,17.71
Pueblo Real (ACAX-TNC),2024-10-03 14:00,15.5,248.3,91,0,15.8,0,217.1,0.0314,18.28
Pueblo Real (ACAX-TNC),2024-10-03 14:15,15.2,180.8,93,0.2,12.4,8,214.1,0.0247,17.48
Pueblo Real (ACAX-TNC),2024-10-03 14:30,14.7,93.7,96,0.4,8.3,4,240.8,0.0155,16.2
Pueblo Real (ACAX-TNC),2024-10-03 14:45,14.8,196,98,0.2,13.9,3,212,0.0238,14.93
Pueblo Real (ACAX-TNC),2024-10-03 15:00,14.6,119.4,97,0,16.1,2,227,0.0162,15.69
Pueblo Real (ACAX-TNC),2024-10-03 15:15,14.8,259.5,97,0,15.2,5,239.3,0.0297,15.53
Pueblo Real (ACAX-TNC),2024-10-03 15:30,14.9,231.5,96,0,15.7,4,204.8,0.0273,16.05
Pueblo Real (ACAX-TNC),2024-10-03 15:45,15.4,276,95,0,11.4,0,205.3,0.0342,16.26
Pueblo Real (ACAX-TNC),2024-10-03 16:00,15.6,349.4,93,0,13.5,0,234.1,0.0414,17.2
Pueblo Real (ACAX-TNC),2024-10-03 16:15,15.6,188.9,92,0,13,0,225.4,0.0261,17.71
Pueblo Real (ACAX-TNC),2024-10-03 16:30,15,127,94,0,13.7,0,220.6,0.0188,17.1
Pueblo Real (ACAX-TNC),2024-10-03 16:45,14.6,70.1,95,0,12.9,0,212.6,0.0128,16.87
Pueblo Real (ACAX-TNC),2024-10-03 17:00,14.4,40,96,0,11.6,1,204.3,0.0096,16.46
Pueblo Real (ACAX-TNC),2024-10-03 17:15,14.1,36.5,95,0,12.9,0,216.8,0.0095,17.36
Pueblo Real (ACAX-TNC),2024-10-03 17:30,14.1,23.4,96,0,11,2,222.2,0.008,16.76
Pueblo Real (ACAX-TNC),2024-10-03 17:45,13.9,6.3,97,0,6.7,9,218.1,0.006,16.34
Pueblo Real (ACAX-TNC),2024-10-03 18:00,13.9,0.7,98,0,7.4,10,251.8,0.0052,15.71
Pueblo Real (ACAX-TNC),2024-10-03 18:15,13.9,0,98,0,7.9,10,210.7,0.0051,15.71
Pueblo Real (ACAX-TNC),2024-10-03 18:30,13.8,0,99,0,11.6,10,203.7,0.0046,15.16
Pueblo Real (ACAX-TNC),2024-10-03 18:45,13.7,0,99,0,11.6,10,221,0.0046,15.26
Pueblo Real (ACAX-TNC),2024-10-03 19:00,13.6,0,100,0,10.1,10,205.3,0.0044,14.69
Pueblo Real (ACAX-TNC),2024-10-03 19:15,13.5,0,99,0,10.7,10,231.6,0.0046,15.47
Pueblo Real (ACAX-TNC),2024-10-03 19:30,13.5,0,99,0,6.5,10,216.8,0.0049,15.47
Pueblo Real (ACAX-TNC),2024-10-03 19:45,13.5,0,99,0,5.6,10,238.3,0.005,15.47
Pueblo Real (ACAX-TNC),2024-10-03 20:00,13.4,0,99,0,7.8,10,262.9,0.0048,15.59
Pueblo Real (ACAX-TNC),2024-10-03 20:15,13.3,0,99,0,7.1,10,280.8,0.0049,15.7
Pueblo Real (ACAX-TNC),2024-10-03 20:30,13.3,0,99,0,7.3,10,270.5,0.0049,15.7
Pueblo Real (ACAX-TNC),2024-10-03 20:45,13.2,0,100,0,9.5,10,244.8,0.0044,15.13
Pueblo Real (ACAX-TNC),2024-10-03 21:00,13,0,100,0,8.7,10,250,0.0045,15.37
Pueblo Real (ACAX-TNC),2024-10-03 21:15,12.7,0,100,0,9.3,10,277.7,0.0044,15.76
Pueblo Real (ACAX-TNC),2024-10-03 21:30,12.4,0,99,0,7.8,10,271.9,0.0048,16.9
Pueblo Real (ACAX-TNC),2024-10-03 21:45,12.3,0,99,0,6.6,10,306.2,0.0049,17.06
Pueblo Real (ACAX-TNC),2024-10-03 22:00,12.2,0,98,0,5,10,286,0.0052,17.92
Pueblo Real (ACAX-TNC),2024-10-03 22:15,12.1,0,99,0,5.7,10,283.2,0.0049,17.37
Pueblo Real (ACAX-TNC),2024-10-03 22:30,12,0,99,0,3.8,10,273.1,0.0051,17.53
Pueblo Real (ACAX-TNC),2024-10-03 22:45,11.8,0,99,0,2.3,10,190.2,0.0052,17.86
Pueblo Real (ACAX-TNC),2024-10-03 23:00,11.8,0,99,0,3.5,10,248.9,0.0051,17.86
Pueblo Real (ACAX-TNC),2024-10-03 23:15,11.8,0,100,0,3.1,10,312.2,0.005,17.12
Pueblo Real (ACAX-TNC),2024-10-03 23:30,11.7,0,100,0,3.5,10,253.9,0.005,17.29
Pueblo Real (ACAX-TNC),2024-10-03 23:45,12,0,100,0,8,10,265.1,0.0045,16.79
