Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-02 04:30,10.5,0,100,0,1.7,3,0.7,0.0051,19.57
Pueblo Real (ACAX-TNC),2024-10-02 04:45,10.5,0,100,0,1.3,3,342.6,0.0052,19.57
Pueblo Real (ACAX-TNC),2024-10-02 05:00,10.8,0,100,0,3.6,3,10.3,0.0049,18.95
Pueblo Real (ACAX-TNC),2024-10-02 05:15,11,0,100,0,4.8,3,48.8,0.0048,18.56
Pueblo Real (ACAX-TNC),2024-10-02 05:30,11.1,0,100,0,4.7,3,30.2,0.0048,18.37
Pueblo Real (ACAX-TNC),2024-10-02 05:45,11.2,0,100,0,4.2,3,65.5,0.0049,18.18
Pueblo Real (ACAX-TNC),2024-10-02 06:00,11.3,1.8,100,0,3.8,4,49.7,0.0051,17.99
Pueblo Real (ACAX-TNC),2024-10-02 06:15,11.4,11.9,100,0,3.5,4,58,0.0062,17.81
Pueblo Real (ACAX-TNC),2024-10-02 06:30,11.5,27.5,100,0,4.3,4,47.3,0.0077,17.63
Pueblo Real (ACAX-TNC),2024-10-02 06:45,11.8,50.9,100,0,4.5,4,356.8,0.0102,17.12
Pueblo Real (ACAX-TNC),2024-10-02 07:00,12.2,100.5,100,0,4.4,0,302.1,0.0155,16.48
Pueblo Real (ACAX-TNC),2024-10-02 07:15,12.8,126.6,97,0,4.2,0,251.3,0.019,17.7
Pueblo Real (ACAX-TNC),2024-10-02 07:30,13.2,125.6,93,0,6,0,215.4,0.0193,19.66
Pueblo Real (ACAX-TNC),2024-10-02 07:45,13.6,142.9,90,0,7,0,235,0.0217,20.8
Pueblo Real (ACAX-TNC),2024-10-02 08:00,13.6,125.7,89,0,6.9,0,224.9,0.0201,21.34
Pueblo Real (ACAX-TNC),2024-10-02 08:15,13.8,151.2,89,0,5.9,0,227.3,0.023,21.06
Pueblo Real (ACAX-TNC),2024-10-02 08:30,14,162.7,89,0,7.2,0,241.7,0.0241,20.8
Pueblo Real (ACAX-TNC),2024-10-02 08:45,14.2,167.1,90,0,7.6,0,239.8,0.0244,20.04
Pueblo Real (ACAX-TNC),2024-10-02 09:00,14.3,194.5,90,0,9.4,0,267.8,0.027,19.92
Pueblo Real (ACAX-TNC),2024-10-02 09:15,14.4,172.3,91,0,9.9,0,251.2,0.0245,19.28
Pueblo Real (ACAX-TNC),2024-10-02 09:30,14.5,250.7,92,0,9.4,0,270,0.0323,18.64
Pueblo Real (ACAX-TNC),2024-10-02 09:45,14.9,229.9,92,0,6.7,8,257.1,0.0315,18.26
Pueblo Real (ACAX-TNC),2024-10-02 10:00,14.8,263.1,92,0,6.9,1,253.1,0.0349,18.35
Pueblo Real (ACAX-TNC),2024-10-02 10:15,15.1,351.3,91,0,10.3,0,237.2,0.0431,18.6
Pueblo Real (ACAX-TNC),2024-10-02 10:30,15.6,320.5,89,0,11.1,0,261.3,0.0407,19.16
Pueblo Real (ACAX-TNC),2024-10-02 10:45,15.8,233,87,0,8.9,0,271.1,0.0331,19.91
Pueblo Real (ACAX-TNC),2024-10-02 11:00,15.6,203.2,87,0,9.5,0,250.4,0.0297,20.07
Pueblo Real (ACAX-TNC),2024-10-02 11:15,15.7,237.2,88,0,8.3,0,232.8,0.0333,19.54
Pueblo Real (ACAX-TNC),2024-10-02 11:30,15.9,223,88,0,9.3,0,229.2,0.0318,19.4
Pueblo Real (ACAX-TNC),2024-10-02 11:45,16.4,418.1,88,0.2,7.6,0,267.1,0.0542,19.08
Pueblo Real (ACAX-TNC),2024-10-02 12:00,17.4,673,83,0,13.6,0,214.1,0.08,20.52
Pueblo Real (ACAX-TNC),2024-10-02 12:15,17.5,465.9,80,0,10.6,0,261.2,0.061,21.47
Pueblo Real (ACAX-TNC),2024-10-02 12:30,17.2,408.8,80,0,11.6,0,277.6,0.0542,21.62
Pueblo Real (ACAX-TNC),2024-10-02 12:45,17.4,432.2,81,0,12,0,235.7,0.0566,21.19
Pueblo Real (ACAX-TNC),2024-10-02 13:00,17.4,305.8,81,0,14.5,0,270.5,0.0432,21.19
Pueblo Real (ACAX-TNC),2024-10-02 13:15,17,257.9,84,0,10,0,218.1,0.0375,20.35
Pueblo Real (ACAX-TNC),2024-10-02 13:30,17.2,337.6,84,0,9.5,0,251.9,0.0464,20.26
Pueblo Real (ACAX-TNC),2024-10-02 13:45,16.9,207.8,84,0,9.7,0,246.1,0.032,20.4
Pueblo Real (ACAX-TNC),2024-10-02 14:00,16.2,228.6,88,0,11.8,9,224.5,0.0322,19.2
Pueblo Real (ACAX-TNC),2024-10-02 14:15,16,313.9,92,0,8.7,2,211.8,0.0409,17.46
Pueblo Real (ACAX-TNC),2024-10-02 14:30,15.9,181.3,92,0,7.7,6,229.1,0.0267,17.52
Pueblo Real (ACAX-TNC),2024-10-02 14:45,15.7,192.3,94,0,4.6,5,255.8,0.0284,16.62
Pueblo Real (ACAX-TNC),2024-10-02 15:00,16.1,298.9,93,0,4.6,2,221.4,0.0414,16.92
Pueblo Real (ACAX-TNC),2024-10-02 15:15,16,112.5,93,0,5.8,1,234.6,0.0192,16.97
Pueblo Real (ACAX-TNC),2024-10-02 15:30,15.6,155.9,94,0,9.4,8,232.4,0.0229,16.68
Pueblo Real (ACAX-TNC),2024-10-02 15:45,15.6,97.8,94,0,6.1,9,245.6,0.0172,16.68
Pueblo Real (ACAX-TNC),2024-10-02 16:00,15.1,30,96,5.2,6.6,4,251.2,0.009,15.9
Pueblo Real (ACAX-TNC),2024-10-02 16:15,14.2,17.7,99,7.4,7.2,2,241.6,0.0068,14.78
Pueblo Real (ACAX-TNC),2024-10-02 16:30,14,17.1,100,1.4,8.7,2,228.9,0.0063,14.3
Pueblo Real (ACAX-TNC),2024-10-02 16:45,13.8,19,100,0.6,7.4,2,218.5,0.0066,14.49
Pueblo Real (ACAX-TNC),2024-10-02 17:00,13.8,27.6,100,0.2,7.5,2,210.4,0.0075,14.49
Pueblo Real (ACAX-TNC),2024-10-02 17:15,13.8,19.1,100,0.4,10.8,2,218.6,0.0062,14.49
Pueblo Real (ACAX-TNC),2024-10-02 17:30,13.9,10.6,100,0.4,7.4,3,219.5,0.0057,14.39
Pueblo Real (ACAX-TNC),2024-10-02 17:45,13.7,3,100,0.2,8.6,3,222,0.0048,14.59
Pueblo Real (ACAX-TNC),2024-10-02 18:00,13.5,0,100,0.6,8.2,2,243.2,0.0045,14.79
Pueblo Real (ACAX-TNC),2024-10-02 18:15,13.5,0,100,0.6,7,2,220.9,0.0046,14.79
Pueblo Real (ACAX-TNC),2024-10-02 18:30,13.6,0,100,0,6.7,2,265.2,0.0047,14.69
Pueblo Real (ACAX-TNC),2024-10-02 18:45,13.6,0,100,0.2,6.7,2,252.5,0.0047,14.69
Pueblo Real (ACAX-TNC),2024-10-02 19:00,13.6,0,100,0,7.3,3,270.3,0.0046,14.69
Pueblo Real (ACAX-TNC),2024-10-02 19:15,13.5,0,100,0,7.4,3,270.3,0.0046,14.79
Pueblo Real (ACAX-TNC),2024-10-02 19:30,13.4,0,100,0,6.2,3,254.1,0.0047,14.9
Pueblo Real (ACAX-TNC),2024-10-02 19:45,13.4,0,100,0,2.9,3,261.9,0.0051,14.9
Pueblo Real (ACAX-TNC),2024-10-02 20:00,13.3,0,100,0,2.7,3,281.7,0.0051,15.02
Pueblo Real (ACAX-TNC),2024-10-02 20:15,13.2,0,100,0,2.8,4,310.4,0.0051,15.13
Pueblo Real (ACAX-TNC),2024-10-02 20:30,13.1,0,100,0,3.6,4,304.2,0.005,15.25
Pueblo Real (ACAX-TNC),2024-10-02 20:45,13,0,100,0,4.9,4,313.5,0.0048,15.37
Pueblo Real (ACAX-TNC),2024-10-02 21:00,13,0,100,0.2,5.8,4,295,0.0047,15.37
Pueblo Real (ACAX-TNC),2024-10-02 21:15,13,0,100,0,6,4,298.2,0.0047,15.37
Pueblo Real (ACAX-TNC),2024-10-02 21:30,12.9,0,100,0,4.2,3,274.5,0.0049,15.5
Pueblo Real (ACAX-TNC),2024-10-02 21:45,12.9,0,100,0,4,3,174.8,0.0049,15.5
Pueblo Real (ACAX-TNC),2024-10-02 22:00,12.8,0,100,0,3.2,4,264.4,0.005,15.63
Pueblo Real (ACAX-TNC),2024-10-02 22:15,12.8,0,100,0,3.5,4,293.5,0.005,15.63
Pueblo Real (ACAX-TNC),2024-10-02 22:30,12.8,0,100,0,3.5,4,262.5,0.005,15.63
Pueblo Real (ACAX-TNC),2024-10-02 22:45,12.8,0,100,0.2,3,4,348.7,0.005,15.63
Pueblo Real (ACAX-TNC),2024-10-02 23:00,12.8,0,100,0,2.1,4,337.6,0.0052,15.63
Pueblo Real (ACAX-TNC),2024-10-02 23:15,12.8,0,100,0.6,3.2,3,132.5,0.005,15.63
Pueblo Real (ACAX-TNC),2024-10-02 23:30,12.8,0,100,0.2,1.3,3,108.6,0.0052,15.63
Pueblo Real (ACAX-TNC),2024-10-02 23:45,12.8,0,100,0.2,3.5,3,88.3,0.005,15.63
