Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-05 07:30,14.3,97.5,100,0,5.6,9,188.5,0.0156,14.05
Pueblo Real (ACAX-TNC),2024-10-05 07:45,14.4,164.1,100,0,3.9,1,217.2,0.0238,13.97
Pueblo Real (ACAX-TNC),2024-10-05 08:00,14.6,204.9,100,0,2.6,0,174,0.0295,13.82
Pueblo Real (ACAX-TNC),2024-10-05 08:15,15,241.2,100,0,3.5,0,190.8,0.0335,13.57
Pueblo Real (ACAX-TNC),2024-10-05 08:30,15.6,310.3,100,0,2,0,90.1,0.0437,13.3
Pueblo Real (ACAX-TNC),2024-10-05 08:45,16.6,377.7,97,0,3.9,0,111.1,0.0517,14.73
Pueblo Real (ACAX-TNC),2024-10-05 09:00,17.6,475.8,86,0,4.4,0,165.5,0.0649,19.38
Pueblo Real (ACAX-TNC),2024-10-05 09:15,18.2,372.7,82,0,5.6,0,153.8,0.0531,20.6
Pueblo Real (ACAX-TNC),2024-10-05 09:30,18.3,304.4,80,0,6.2,0,265.3,0.0452,21.18
Pueblo Real (ACAX-TNC),2024-10-05 09:45,18.3,267.7,77,0,6.2,0,257.4,0.0413,22.01
Pueblo Real (ACAX-TNC),2024-10-05 10:00,18.3,289.3,78,0,6.4,0,263,0.0437,21.74
Pueblo Real (ACAX-TNC),2024-10-05 10:15,18.8,321.5,77,0,6.1,0,244.2,0.0482,21.88
Pueblo Real (ACAX-TNC),2024-10-05 10:30,18.7,247.5,77,0,4.9,0,255.5,0.0392,21.9
Pueblo Real (ACAX-TNC),2024-10-05 10:45,19.1,421.4,76,0,5.1,0,184.5,0.0606,22.07
Pueblo Real (ACAX-TNC),2024-10-05 11:00,19.5,267.1,73,0,4.7,0,222.8,0.0427,22.67
Pueblo Real (ACAX-TNC),2024-10-05 11:15,19.2,195,74,0,5.1,0,258.8,0.0338,22.5
Pueblo Real (ACAX-TNC),2024-10-05 11:30,19.1,234,75,0,6,0,235.1,0.0385,22.3
Pueblo Real (ACAX-TNC),2024-10-05 11:45,19.2,234.6,76,0,6.4,0,221.7,0.0386,22.06
Pueblo Real (ACAX-TNC),2024-10-05 12:00,19,175.6,79,0,9.4,0,211.2,0.0315,21.34
Pueblo Real (ACAX-TNC),2024-10-05 12:15,18.9,200.3,79,0,6,0,205.1,0.0337,21.35
Pueblo Real (ACAX-TNC),2024-10-05 12:30,19.9,527.7,76,0,7.2,0,210.4,0.0742,22.04
Pueblo Real (ACAX-TNC),2024-10-05 12:45,19.8,211.6,75,0,7.4,0,224.5,0.0369,22.25
Pueblo Real (ACAX-TNC),2024-10-05 13:00,20.1,533.1,76,0,9,0,258.4,0.0747,22.06
Pueblo Real (ACAX-TNC),2024-10-05 13:15,20.7,498.8,75,0,9.7,0,245.3,0.0719,22.37
Pueblo Real (ACAX-TNC),2024-10-05 13:30,18.9,49.7,82,0,8.9,9,126.3,0.0162,20.52
Pueblo Real (ACAX-TNC),2024-10-05 13:45,16.5,45.9,93,0.6,4.9,10,23.5,0.0116,16.76
Pueblo Real (ACAX-TNC),2024-10-05 14:00,16.4,30.1,96,0,4.6,10,324.8,0.0092,15.29
Pueblo Real (ACAX-TNC),2024-10-05 14:15,15.5,25.4,94,1,7.4,10,327.2,0.009,16.74
Pueblo Real (ACAX-TNC),2024-10-05 14:30,14,41.3,99,2.6,6.9,10,348.5,0.0093,14.96
Pueblo Real (ACAX-TNC),2024-10-05 14:45,13.9,85.5,100,1.8,3.4,10,89.8,0.0148,14.39
Pueblo Real (ACAX-TNC),2024-10-05 15:00,14.4,159.3,100,0.2,2.7,9,67.4,0.0239,13.97
Pueblo Real (ACAX-TNC),2024-10-05 15:15,15.2,156.5,100,0,3.5,0,40.5,0.0236,13.47
Pueblo Real (ACAX-TNC),2024-10-05 15:30,15.3,122.9,100,0,2.9,0,57.3,0.0199,13.42
Pueblo Real (ACAX-TNC),2024-10-05 15:45,15.7,111.3,100,0,1.2,1,52.2,0.0194,13.27
Pueblo Real (ACAX-TNC),2024-10-05 16:00,16,102.2,100,0,4.5,6,296.6,0.0171,13.19
Pueblo Real (ACAX-TNC),2024-10-05 16:15,15.9,108.5,100,0,6.5,1,255.9,0.0172,13.21
Pueblo Real (ACAX-TNC),2024-10-05 16:30,15.8,109.8,99,0,2.9,0,287.2,0.0186,13.82
Pueblo Real (ACAX-TNC),2024-10-05 16:45,16.1,151.4,98,0,4.8,0,262.7,0.0232,14.3
Pueblo Real (ACAX-TNC),2024-10-05 17:00,16,78.7,96,0,4.3,0,318.4,0.015,15.42
Pueblo Real (ACAX-TNC),2024-10-05 17:15,15.6,48.5,95,0,3.7,1,335.8,0.0115,16.15
Pueblo Real (ACAX-TNC),2024-10-05 17:30,15.4,13.4,96,0,3.3,3,41.4,0.0072,15.71
Pueblo Real (ACAX-TNC),2024-10-05 17:45,15.1,3.6,97,0,2.7,9,44,0.0059,15.33
Pueblo Real (ACAX-TNC),2024-10-05 18:00,14.9,0.4,98,0,3.7,9,20.4,0.0053,14.86
Pueblo Real (ACAX-TNC),2024-10-05 18:15,14.8,0,98,0,3.7,9,332.9,0.0053,14.93
Pueblo Real (ACAX-TNC),2024-10-05 18:30,14.8,0,99,0,3.7,10,322.7,0.0051,14.32
Pueblo Real (ACAX-TNC),2024-10-05 18:45,14.7,0,99,0,4.1,10,33.3,0.0051,14.39
Pueblo Real (ACAX-TNC),2024-10-05 19:00,14.6,0,99,0,1.5,10,109.1,0.0053,14.46
Pueblo Real (ACAX-TNC),2024-10-05 19:15,14.4,0,100,0,1.9,10,42.8,0.0052,13.97
Pueblo Real (ACAX-TNC),2024-10-05 19:30,14.3,0,100,0,0.7,10,98.1,0.0053,14.05
Pueblo Real (ACAX-TNC),2024-10-05 19:45,14,0,100,0,1.6,10,46.9,0.0052,14.3
Pueblo Real (ACAX-TNC),2024-10-05 20:00,13.8,0,100,0,1.6,10,83,0.0052,14.49
Pueblo Real (ACAX-TNC),2024-10-05 20:15,13.4,0,100,0,0,10,351.3,0.0054,14.9
Pueblo Real (ACAX-TNC),2024-10-05 20:30,13.3,0,100,0,1.6,10,66.8,0.0052,15.02
Pueblo Real (ACAX-TNC),2024-10-05 20:45,13.6,0,100,0,1.6,10,18.8,0.0052,14.69
Pueblo Real (ACAX-TNC),2024-10-05 21:00,13.7,0,100,0,3,10,14.7,0.0051,14.59
Pueblo Real (ACAX-TNC),2024-10-05 21:15,13.5,0,100,0,3.6,10,10.2,0.005,14.79
Pueblo Real (ACAX-TNC),2024-10-05 21:30,13.6,0,100,0,4.2,10,6.1,0.0049,14.69
Pueblo Real (ACAX-TNC),2024-10-05 21:45,13.4,0,100,0,2.8,10,1.9,0.0051,14.9
Pueblo Real (ACAX-TNC),2024-10-05 22:00,13,0,100,0,3.6,10,29.8,0.005,15.37
Pueblo Real (ACAX-TNC),2024-10-05 22:15,12.6,0,100,0,0,10,352.2,0.0054,15.9
Pueblo Real (ACAX-TNC),2024-10-05 22:30,12.2,0,100,0,1.1,10,124.4,0.0053,16.48
Pueblo Real (ACAX-TNC),2024-10-05 22:45,12.3,0,100,0,1.4,10,6.5,0.0052,16.33
Pueblo Real (ACAX-TNC),2024-10-05 23:00,12.5,0,100,0,2.7,10,4.2,0.0051,16.04
Pueblo Real (ACAX-TNC),2024-10-05 23:15,12.4,0,100,0,0,10,107.5,0.0054,16.18
Pueblo Real (ACAX-TNC),2024-10-05 23:30,12.3,0,100,0,0.8,10,223.4,0.0053,16.33
Pueblo Real (ACAX-TNC),2024-10-05 23:45,12.7,0,100,0,2.4,10,28.9,0.0051,15.76
